RP-Ap32;ratIgG(H+L)	Rb(pS807;pS811);Rb(pS807);Rb(pS811)	H3(pS10)	E2F-1	FOXO1a	c-Myc	Actin	p53;mouseIgG(H+L)/goat	p21	p27Kip1	S6(pS235;pS236)	H2A.X(pS139)	Cyclin-E1	HCSCellMaskDeepRedReagent	FOXO3a;rabbitIgG(H+L)/goat/highlycross-adsorbed	ERK-1(pT202;pY204);ERK-1(pT202);ERK-2(pT185;pY187);ERK-2(pT185)	Cyclin-D1	KI-67	EGFR	PCNA	MitoTrackerGreenReagent
Dasatinib_0.1_24hr	4349.12639090909	1071.03101515152	262.016732727273	792.728186666667	1579.77678484848	192.415179393939	2059.84289454545	1560.0775630303	388.235801818182	417.84325030303	384.888367878788	195.562288484848	186.553918787879	7367.34995212121	702.814989090909	397.839042424242	401.257659393939	1942.35276181818	497.919941212121	1873.08965515152	6970.08693454545
Neratinib_0.01_24hr	2786.25799421965	1250.99437754792	262.606777000304	367.551219653179	1125.93081959233	200.918181320353	790.37287770003	1126.49831700639	268.628112868877	203.323697900821	628.630819592333	172.097097048981	167.205541831457	3307.81550623669	305.063932156982	318.609721630666	304.336674170977	2626.02913294798	630.742324612108	2744.5146257986	3813.76261515059
Dasatinib_1_24hr	2333.94464922206	417.830345120226	179.174828854314	326.386814710042	1920.60940876945	161.905929278642	3901.14671994342	1530.45272560113	233.394210749646	529.450230551627	303.736137199434	166.78687553041	159.203644978784	8379.9955261669	1103.27401838755	472.708773691655	376.54938330976	887.943669024045	409.136898161245	1354.88686421499	10647.4339349364
Etoposide_0.1_24hr	2581.76211933359	766.756083688493	175.804509879892	310.393043394033	1020.54445408756	166.39543665246	1032.98663037582	1382.71643858969	384.010751259202	187.715883765982	271.638442851608	166.19789228981	159.244606354126	3398.76404068191	321.813852382797	437.090337078652	425.652680356451	1734.9247280124	340.429446726075	2122.10553428904	4335.90151220457
Paclitaxel_0.0001_24hr	2814.72534509372	1218.50386466373	248.370156560088	378.630047409041	1108.90581119074	184.550556504961	727.426736218302	1148.5073222161	274.116007993385	199.82797629548	438.907635060639	169.527143329658	165.157175027563	3336.48499255788	301.633012954796	354.488730429989	308.676779768467	2809.97482111356	442.14565876516	2467.40602811466	4392.85545755237
Alpelisib_1_24hr	3088.52473635665	1348.98585741737	255.225671022291	540.626644504228	1076.46964181399	205.84081206764	849.206018063028	1212.75597694081	308.891637586472	221.562824750192	541.168449654112	178.048215603382	184.076858570331	4272.55860146042	362.730352036895	335.015165641814	332.816496541122	3199.54230630284	569.486649116065	2589.51763720215	5266.78874442736
Neratinib_0.031623_24hr	3208.70361590525	1185.16680541455	281.692063451777	478.915695431472	793.970079949239	190.017031302876	664.432313451777	1390.81477664975	290.875447969543	236.407711928934	283.502082910321	174.532326142132	178.252545262267	3572.46782191201	323.139150592217	237.683987309645	285.066740270728	2463.75185956007	378.770763959391	2311.21995473773	3783.06784813875
Alpelisib_3.1623_24hr	3222.48064947368	1203.31233315789	234.686747894737	622.436185789474	839.466637894737	175.468627894737	958.952103157895	1068.04182421053	308.031754210526	230.035772631579	203.889807894737	177.327170526316	177.354197894737	4421.41969157895	422.439399473684	299.341813157895	300.087978947368	1308.32436052632	305.922057368421	1539.93341631579	5497.45961473684
Neratinib_0.001_24hr	2773.70751472135	1322.06089984227	304.449348843323	507.651272607781	990.847446898002	203.507244742376	688.21185488959	1127.30856756046	358.60941745531	226.042563091483	366.206768927445	181.359028391167	188.088823080967	4752.49486514196	297.55780126183	279.380944006309	318.919313091483	2803.56474973712	516.165722660358	2647.1967276551	5074.57179442692
Trametinib_0.01_24hr	3249.75395559503	359.475361456483	195.554344582593	727.680487566607	586.310591474245	141.062203374778	1129.10595737123	1220.7961651865	359.432894316163	315.796613676732	151.383909413854	171.982017761989	163.52211634103	4683.65248667851	555.823121669627	197.399537300178	251.524705150977	308.614308170515	193.776910301954	663.475857904085	6451.92974422735
Alpelisib_0.31623_24hr	2727.9136716064	1202.49585240071	308.690320391227	462.28152519265	825.289629519858	198.129841434499	605.274232661529	1162.2193805572	315.466924718435	207.247607291049	388.998331950207	173.474125074096	180.498663307647	4286.20075489034	298.518569353883	279.703269413159	307.066986662715	2815.29277415531	451.674975400119	2240.22975963248	5114.21609988145
Vorinostat_0.1_24hr	2530.56674700332	1257.70879571538	289.927746238205	382.821859219587	814.301031624586	193.200020147921	517.795807192043	1002.32115990819	304.753811272635	196.491372609028	482.013588115277	180.977055087988	173.757626115787	3208.38448227493	266.602716908952	292.337599591941	299.117319051262	2836.54855521551	526.81583703137	2287.13093190513	4367.12997296608
